リファレンスID,機能名,機能説明,実装済み/未
SCR-CTRL-003,"scraper: schedule更新","POST /control/schedule（enabled/baba_codes/snapshot_kinds/prefetch_days）を提供する","実装済み"
SCR-CTRL-004,"scraper: 手動スクレイプ","POST /control/scrape（baba_code 必須）を受理し実行する","実装済み"
SCR-CTRL-005,"scraper: 同期データ提供（export）","POST /control/export/* で ingest 保存データを返す","実装済み"
SCR-SCRAPE-001,"scraper: TodayRaceInfo 取得","TodayRaceInfoTop/RaceList/DebaTable/RaceMarkTable/RefundMoneyList/Odds* を取得・保存する（DebaTableは斤量/騎手/馬体重も抽出）","実装済み"
SCR-SCHED-001,"scraper: 定期実行（snapshot_kinds）","RaceList の発走時刻から t_minus_* / final のタイミングで odds を取得する（snapshot_kindsは複数選択可・デフォルトfinalのみ）","実装済み"
SCR-SCHED-002,"scraper: 日次で将来1週間のRaceListを取得","日付更新単位で、将来1週間分の RaceList を先読み取得し ingest に保存する（prefetch_days=7）","実装済み"
SCR-PLAN-001,"scraper: 当日スクレイピング計画生成","当日 RaceList から odds のスクレイプ計画（odds_plan_YYYY-MM-DD.json）を生成して保存する","実装済み"
SCR-SCRAPE-002,"scraper: 低負荷ポリシー","per-host concurrency=1、最小間隔、指数バックオフ等の負荷抑制を行う","実装済み"
SCR-SCRAPE-003,"scraper: fixtures 収集（manifest）","manifest.yml に基づく HTML 収集とログ出力（TDD向け）","実装済み"
SCR-CRON-001,"scraper: cron 定期実行","cron が schedule 状態に従って定期実行する","実装済み"
TEST-LIVE-001,"tests: live scrape（babaCode=32, 2025-12-28）","ネットワーク依存の live scrape テストで RaceList/DebaTable を取得し、基本項目が抽出できることを検証する","実装済み"
PIPE-001,"pipeline: Prefect flow（雛形）","daily_train_flow（最小の Prefect flow）を提供する","実装済み"
PIPE-002,"pipeline: 学習パイプライン（本実装）","収集→検証→学習→評価→登録→配布の一連パイプライン","未"
WORK-001,"worker: Celery ping task","worker.ping タスク（疎通用）","実装済み"
WORK-002,"worker: Broker/Backend（本番）","Redis 等の broker/backend と本番運用構成","未"
INF-NGINX-001,"infra: reverse-proxy ルーティング","NGINXで /→frontend、/api/→api をリバースプロキシする","実装済み"
INF-DOCKER-001,"infra: PC compose","docker-compose.pc.yaml（reverse-proxy/api/postgres/worker/pipeline/mlflow/frontend）","実装済み"
INF-DOCKER-002,"infra: Pi compose","docker-compose.pi.yaml（scraper/control/cron 等）","実装済み"

